Neighbourhood,F2020_Population_Projection,Assault_2019,Assault_Rate2019,AutoTheft_2019,AutoTheft_Rate2019,BreakAndEnter_2019,BreakAndEnter_Rate2019,Robbery_2019,Robbery_Rate2019,TheftOver_2019,TheftOver_Rate2019,Homicide_2019,Homicide_Rate2019,Shootings_2019,Shootings_Rate2019
Yonge-St.Clair,14083,35,253.8071,6,43.50979,28,203.0457,4,29.00653,6,43.50979,0,0,0,0
York University Heights,30277,382,1279.861,147,492.5118,111,371.8967,84,281.4353,31,103.863,0,0,6,20.10252
Lansing-Westgate,18146,70,393.5901,30,168.6815,39,219.2859,12,67.47259,10,56.22716,0,0,2,11.24543
Yorkdale-Glen Park,17560,210,1237.405,64,377.1139,90,530.3164,42,247.481,30,176.7721,1,5.892405,17,100.1709
Stonegate-Queensway,27410,83,307.3277,35,129.596,64,236.9756,24,88.86585,4,14.81098,0,0,1,3.702744
Tam O'Shanter-Sullivan,29970,108,365.6431,24,81.25402,67,226.8341,31,104.9531,3,10.15675,2,6.771168,2,6.771168
The Beaches,23364,82,355.1628,21,90.95634,58,251.2128,17,73.63132,9,38.98129,0,0,2,8.662509
Thistletown-Beaumond Heights,10948,75,688.642,51,468.2766,14,128.5465,10,91.81893,3,27.54568,0,0,3,27.54568
Thorncliffe Park,23518,119,516.0898,15,65.05334,28,121.4329,13,56.37957,5,21.68445,0,0,8,34.69512
Danforth East York,18427,85,465.5493,9,49.29346,24,131.4492,8,43.81641,8,43.81641,0,0,1,5.477051
Humewood-Cedarvale,15854,45,288.2767,16,102.4984,28,179.3722,10,64.0615,3,19.21845,0,0,0,0
Islington-City Centre West,51481,217,434.4953,173,346.3949,125,250.2853,36,72.08218,35,70.07989,1,2.002283,5,10.01141
Danforth,10353,108,1051.504,9,87.62535,40,389.446,26,253.1399,4,38.9446,0,0,1,9.736151
Rustic,10756,68,640.241,38,357.7817,14,131.8143,5,47.07655,1,9.415309,1,9.415309,7,65.90717
Scarborough Village,18116,174,972.5016,20,111.7818,40,223.5636,28,156.4945,2,11.17818,0,0,6,33.53454
South Parkdale,24212,240,1006.88,20,83.90669,89,373.3848,34,142.6414,24,100.688,1,4.195335,3,12.586
South Riverdale,30225,250,835.8129,38,127.0436,132,441.3092,35,117.0138,21,70.20828,0,0,6,20.05951
St.Andrew-Windfields,20070,69,351.467,40,203.749,84,427.8729,11,56.03097,7,35.65607,0,0,1,5.093725
Taylor-Massey,16651,119,719.7291,12,72.57772,63,381.033,14,84.674,3,18.14443,1,6.048143,2,12.09629
Humber Summit,13458,127,954.8872,136,1022.556,59,443.609,28,210.5263,22,165.4135,3,22.55639,8,60.15038
Humbermede,16794,155,933.6224,67,403.5658,62,373.449,27,162.631,8,48.18697,0,0,4,24.09348
Centennial Scarborough,14672,49,339.4057,20,138.5329,29,200.8728,1,6.926647,3,20.77994,0,0,1,6.926647
Church-Yonge Corridor,39279,911,2421.777,56,148.8689,309,821.4371,149,396.0975,41,108.9933,1,2.658373,4,10.63349
Clairlea-Birchmount,29302,287,991.5014,67,231.4655,65,224.5561,35,120.9148,14,48.36592,1,3.454709,3,10.36413
Cliffcrest,17715,137,787.9904,19,109.2833,46,264.5807,29,166.8009,3,17.25526,1,5.751754,1,5.751754
Flemingdon Park,23505,151,648.6533,8,34.36574,16,68.73148,13,55.84432,3,12.88715,0,0,9,38.66145
Corso Italia-Davenport,15139,93,618.8448,16,106.4679,40,266.1698,33,219.5901,6,39.92547,0,0,1,6.654245
Ionview,14407,80,558.1915,8,55.81915,19,132.5705,12,83.72872,2,13.95479,0,0,1,6.977393
